Gaelic,English
an,the
bí,be
ar,on
agus,and
is,is
ag,at
le,with
na,the
do,for
go,to
de,of
sé,he
sin,that
ó,from
é,it
seo,this
cuir,add
mar,as
ach,but
déan,do
faoi,about
nó,or
duine,a person
tabhair,give
féin,himself
ní,no
aon,any
as,off
chun,to
eile,another
abair,say
mé,me
tar,come
cuid,some
maith,good
faigh,get
sí,she
ná,don't
bliain,year
siad,they
téigh,go
nuair,when
iad,them
amach,out
mo,my
cé,who
nach,not
bain,remove
ceann,one
gach,each
tú,you
rud,thing
í,her
caith,throw
Gaeilge,Irish
trí,through
gan,without
féidir,possible
lá,day
chomh,so
fear,man
isteach,in
fad,length
áit,place
beag,little
am,time
chuig,to
Éire,Ireland
obair,work
céad,hundred
amháin,only
taobh,side
anois,now
céile,spouse
mac,son
feic,see
níos,more
má,if
teach,a house
ceart,right
gur,that
idir,between
scéal,story
tír,country
saol,life
bith,be
roimh,before
féad,can
ceist,question
ansin,then
deireadh,end
bean,a woman
dóigh,like
dá,two
fios,know
uair,once
alt,article
te,warm
pobal,community
comhairle,advice
éirigh,succeeded
I,I
aghaidh,face
céanna,same
arsa,said
súil,hope
scoil,school
síos,down
fág,leave
nua,new
glac,accept
roinn,department
arís,again
maidir,regarding
teanga,language
cás,case
úsáid,use
leith,respect
iarr,ask
tóg,take
óg,young
níor,no
anseo,here
thar,over
tuig,understand
oíche,night
aire,attention
baile,home
cad,what
lucht,charge
cúrsa,course
eolas,information
imigh,go away
méid,size
leor,enough
lean,follow
fada,long
caint,talk
leabhar,book
scríobh,write
acht,act
seachtain,a week
feidhm,function
lámh,hand
ceap,think
tarlaigh,happen
ais,back
mí,month
léir,all
áirigh,include
ábhar,matter
féach,see
bealach,way
ard,high
páiste,a child
muintir,people
airgead,money
béal,mouth
freisin,too
bord,board
rialtas,government
uile,all
siúil,walk
bunaigh,establish
gabh,catch
diaidh,after
stát,state
ainm,name
suas,up
athair,father
dia,god
fós,yet
ár,our
ea,yes
seirbhís,service
éigin,some
clár,program
talamh,land
buail,hit
riamh,ever
muid,we
focal,word
tús,start
mise,me
beirt,two people
fiú,even
linn,us
fan,wait
dar,according to
contae,county
foireann,team
meas,respect
measc,mix
leag,set
bóthar,road
labhair,speak
clois,hear
cónaí,live
ceol,music
bás,death
